iter	RMSE
0	0.3862189295
1	0.3849542219
2	0.3837188994
3	0.3824285137
4	0.3811376863
5	0.3799096372
6	0.3786053903
7	0.377365183
8	0.3761516756
9	0.3749162443
10	0.3737143399
11	0.3725114203
12	0.3713290395
13	0.3701190344
14	0.368907504
15	0.3677809656
16	0.3666139301
17	0.3654676724
18	0.3643334123
19	0.3631671927
20	0.3619385801
21	0.3606785408
22	0.3595457995
23	0.3583848857
24	0.3572431203
25	0.3560903523
26	0.3549638994
27	0.3537775937
28	0.3526745401
29	0.351533787
30	0.3504191287
31	0.3493630928
32	0.3481982747
33	0.3470968344
34	0.3460017219
35	0.3449440146
36	0.3437899833
37	0.3427081064
38	0.3416721532
39	0.3405340544
40	0.3394668559
41	0.3383841756
42	0.3373376437
43	0.3362059765
44	0.3351690032
45	0.334089517
46	0.3330549292
47	0.3320313776
48	0.3309648888
49	0.3298915912
50	0.328896803
51	0.327874341
52	0.3268549301
53	0.3258615521
54	0.3248550488
55	0.3238415171
56	0.3228064129
57	0.3217963864
58	0.3207775871
59	0.319752094
60	0.3187615896
61	0.3178068445
62	0.3168180547
63	0.315829966
64	0.3147995974
65	0.3138045621
66	0.3128685936
67	0.3119171929
68	0.3110275895
69	0.3100973125
70	0.3091523567
71	0.3082261059
72	0.3072403226
73	0.3063384399
74	0.3053473804
75	0.3044162069
76	0.3035274991
77	0.3026078231
78	0.3016297903
79	0.3007125282
80	0.299797091
81	0.2988660413
82	0.2979644392
83	0.2971060536
84	0.2962100327
85	0.2953533814
86	0.2944544514
87	0.2935923359
88	0.2927194241
89	0.2918734374
90	0.290982708
91	0.2900735418
92	0.2892326598
93	0.2883721116
94	0.2875786324
95	0.2867432392
96	0.2859218105
97	0.2850450204
98	0.284172253
99	0.2833499265
100	0.2825475478
101	0.2817361709
102	0.2809372251
103	0.2800861507
104	0.2793182757
105	0.2785202661
106	0.2776967586
107	0.2768869415
108	0.27608725
109	0.2753499529
110	0.2745243474
111	0.273760513
112	0.2729740689
113	0.2721784636
114	0.2713979309
115	0.2706681237
116	0.2699346943
117	0.2691341623
118	0.2683808968
119	0.2676024366
120	0.2668611534
121	0.2661528844
122	0.2653766447
123	0.2646381816
124	0.2639313156
125	0.2632427127
126	0.2625526492
127	0.2618220101
128	0.2610878846
129	0.2603293378
130	0.2596083085
131	0.258914267
132	0.2582287616
133	0.257554592
134	0.2568185028
135	0.2561072436
136	0.2554358143
137	0.2547496475
138	0.2540243672
139	0.2533007846
140	0.2526322549
141	0.2519253967
142	0.2512102662
143	0.2505224019
144	0.2498590821
145	0.2492418337
146	0.2485306481
147	0.2479210803
148	0.2472785174
149	0.2466373634
150	0.2459323289
151	0.2453339452
152	0.2446523906
153	0.2439989254
154	0.2433478033
155	0.2427140065
156	0.2421017804
157	0.2414287661
158	0.2407771801
159	0.2401607198
160	0.2395247801
161	0.2388733265
162	0.2382109182
163	0.2376214364
164	0.2370111424
