iter	RMSE
0	0.3833751513
1	0.3820925118
2	0.3808249785
3	0.3794947999
4	0.378246414
5	0.3769997664
6	0.3756803284
7	0.374444618
8	0.373240369
9	0.3719967894
10	0.3706977876
11	0.3694638853
12	0.3681980143
13	0.3670309782
14	0.3658200453
15	0.3646716195
16	0.3635172745
17	0.3623081008
18	0.3611413198
19	0.3599281425
20	0.3587644661
21	0.3575916553
22	0.3563419304
23	0.3551810614
24	0.3540728877
25	0.352947002
26	0.3518188401
27	0.3506634079
28	0.3494780381
29	0.3483540584
30	0.3472003153
31	0.3461314511
32	0.3451014376
33	0.3439975978
34	0.3428200814
35	0.3417237919
36	0.3406175244
37	0.3395311363
38	0.3383978471
39	0.3373343744
40	0.3362573469
41	0.3351174386
42	0.3341168029
43	0.3330207843
44	0.3319095036
45	0.3309161552
46	0.3298773484
47	0.3288057184
48	0.327781629
49	0.3267059423
50	0.3256290279
51	0.3246017709
52	0.3235377479
53	0.3225426902
54	0.321542233
55	0.320557247
56	0.3195816007
57	0.3185692281
58	0.3175375006
59	0.3165697549
60	0.3155523367
61	0.3145872796
62	0.313600021
63	0.3126090871
64	0.3115991073
65	0.3106100664
66	0.3096531321
67	0.3086887968
68	0.3076930228
69	0.3067945934
70	0.3058048637
71	0.3048970921
72	0.3039265008
73	0.3030181039
74	0.3021138264
75	0.3012096518
76	0.3002536992
77	0.2993147414
78	0.2983871603
79	0.2974799325
80	0.2965876323
81	0.2957382878
82	0.2948691384
83	0.294003154
84	0.2931532643
85	0.2923017544
86	0.29140214
87	0.2905187711
88	0.2896402439
89	0.2887580403
90	0.2878425864
91	0.2870448454
92	0.2862643116
93	0.2854083997
94	0.2845271106
95	0.2837200009
96	0.2828678591
97	0.2819997482
98	0.2811507391
99	0.2803093592
100	0.2795346409
101	0.2787372959
102	0.2779937427
103	0.2771779817
104	0.2763667785
105	0.2755306217
106	0.2747231468
107	0.2739166652
108	0.2731705996
109	0.2723513928
110	0.2715481398
111	0.2707841691
112	0.2700150612
113	0.2692504388
114	0.2684843009
115	0.267740818
116	0.2670017004
117	0.2662316962
118	0.265445215
119	0.2646847604
120	0.2639557496
121	0.2632244125
122	0.2624681997
123	0.2616878734
124	0.2609216304
125	0.2601689689
126	0.2594448887
127	0.2586774144
128	0.2579526658
129	0.2572105368
130	0.2565054841
131	0.2557299411
132	0.255018244
133	0.2542497172
134	0.2535456915
135	0.2528115818
136	0.2521089381
137	0.251413383
138	0.2507291488
139	0.2499994248
140	0.2492662769
141	0.2485826046
142	0.2479015633
143	0.2472514188
144	0.2465424548
145	0.2458731444
146	0.245225873
147	0.2445626664
148	0.2438663473
149	0.2431995878
150	0.2425038044
151	0.2418673638
152	0.2412133066
153	0.2405892534
154	0.239942178
155	0.2392919137
156	0.2386313681
157	0.2380028677
158	0.2373808684
159	0.2367190517
160	0.2360462674
161	0.2354084812
162	0.234797883
163	0.2341794576
164	0.2335625324
165	0.2329279014
166	0.2323296546
167	0.2316765473
168	0.231084487
169	0.2304863071
170	0.2298592779
171	0.2292253462
172	0.2285848389
173	0.2279376425
174	0.2273581055
175	0.2267808106
176	0.2262122585
177	0.2256684156
178	0.2250753517
179	0.2244686638
180	0.223883588
181	0.2232837364
182	0.2227345291
183	0.2221712353
184	0.2216196508
185	0.2210685841
186	0.2205123394
187	0.2199607761
188	0.2194167274
189	0.2188629802
190	0.2183205656
191	0.2177561149
192	0.2172204074
193	0.216666497
194	0.2161003549
195	0.2155734968
196	0.2150264507
197	0.2145340499
198	0.2140489299
199	0.2135170691
200	0.2129868196
201	0.2124301429
202	0.2119218742
203	0.2113700542
204	0.2108561357
205	0.2103529743
206	0.2098349653
207	0.2093191185
208	0.208780806
209	0.2082857123
210	0.2077743836
211	0.2072797271
212	0.2067838913
213	0.2062698033
214	0.2057773924
215	0.2053239981
216	0.2048118081
217	0.204310966
218	0.2038494289
219	0.2033427558
220	0.2028225752
221	0.2023475358
222	0.2018693094
223	0.2013887293
224	0.2009154404
225	0.2004540382
226	0.199945769
227	0.1994606813
228	0.1989863459
229	0.1985060021
230	0.1980266967
231	0.1975722132
232	0.197129401
233	0.1966579193
234	0.1961515328
235	0.195713928
236	0.1952570226
237	0.1948042997
238	0.1943377842
239	0.19388001
240	0.1934475279
241	0.1929853163
242	0.1925645126
243	0.1920965307
244	0.1916535745
245	0.1911952795
246	0.1907604887
247	0.1903364249
248	0.1899325625
249	0.1894872218
250	0.1890624838
251	0.1886900443
252	0.1882570812
253	0.1878337158
254	0.1874079432
255	0.1870037445
256	0.1865729215
257	0.1861393416
258	0.1856788221
259	0.1852684013
260	0.1848602437
261	0.1844393615
262	0.1840212306
263	0.1836384631
264	0.1832230411
265	0.1828413483
266	0.1824736704
267	0.1820782693
268	0.1817000592
269	0.1813194655
270	0.1809547065
271	0.1805752981
272	0.1801985972
273	0.1797957336
274	0.1794062577
275	0.1790452601
276	0.1786234793
277	0.1782524473
278	0.1778803898
279	0.1775128965
280	0.1771470997
281	0.1767791677
282	0.1764085068
283	0.1760270892
284	0.1756242928
285	0.1752455886
286	0.1749171517
287	0.1745702789
288	0.174207685
289	0.173854187
290	0.1735007711
291	0.1731280208
292	0.1727919581
293	0.1724392967
294	0.1720793795
295	0.1717008357
296	0.1713393845
297	0.1709916571
298	0.1706366206
299	0.1703089213
300	0.16997076
301	0.1696251549
302	0.1692794904
303	0.168937256
304	0.1686029147
305	0.1682415985
306	0.1678992184
307	0.1675631932
308	0.1672211792
309	0.1669000805
310	0.1665513775
311	0.1662172173
312	0.1659288721
313	0.1656103273
314	0.1652794254
315	0.1649584284
316	0.164636991
317	0.1643195292
318	0.1639823126
319	0.1636722404
320	0.1633421262
321	0.1630141892
322	0.1626878896
323	0.1623687481
324	0.1620680695
325	0.1617504778
326	0.1614308814
327	0.1610907414
328	0.1607881448
329	0.1604917544
330	0.1601839894
331	0.1598805355
332	0.1595616078
333	0.159253924
334	0.1589626583
335	0.1586614059
336	0.1583682424
337	0.1580826388
338	0.1577867674
339	0.1574776186
340	0.1571856631
341	0.1568959839
342	0.1565898209
343	0.1562969699
344	0.1560390355
345	0.1557838212
346	0.1554718491
347	0.1551873559
348	0.1548858552
349	0.154598361
350	0.1542934719
351	0.1540093954
352	0.1537011745
353	0.1534469989
354	0.1531530221
355	0.1528729377
356	0.1526066753
357	0.1523169404
358	0.1520585659
359	0.1517888756
360	0.1515261273
361	0.1512654632
362	0.1509825822
363	0.150704974
364	0.1504408032
365	0.1501909989
366	0.1499682854
367	0.1497154378
368	0.1494617849
369	0.1491730068
370	0.1489059474
371	0.1486663345
372	0.1484184661
373	0.1481530245
374	0.1478996773
375	0.1476434012
376	0.1473687791
377	0.1471315832
378	0.1468796501
379	0.1466363889
380	0.146388166
381	0.1461370343
382	0.1458742496
383	0.145639245
384	0.145407693
385	0.1451517785
386	0.1449087888
387	0.1446723742
388	0.1444392832
389	0.1441964169
390	0.143953335
391	0.1437156178
392	0.1434751106
393	0.1432449151
394	0.1430068985
395	0.1427813506
396	0.1425466137
397	0.1423066626
398	0.1420710596
399	0.1418611077
400	0.1416130741
401	0.1413947301
402	0.1411694806
403	0.1409171722
404	0.1406725096
405	0.140449395
406	0.1402535666
407	0.1400207709
408	0.1397949585
409	0.1395825327
410	0.1393497254
411	0.1391150685
412	0.138920463
413	0.1387103956
414	0.1384969339
415	0.1382679987
416	0.1380305748
417	0.1378391508
418	0.137618721
419	0.1373934262
420	0.1371885187
421	0.1369751532
422	0.1367644173
423	0.1365564705
424	0.1363508741
425	0.1361459338
426	0.1359577281
427	0.1357640934
428	0.1355675607
429	0.1353684916
430	0.1351627504
431	0.1349413863
432	0.1347381083
433	0.1345142818
434	0.1343059539
435	0.1341302308
436	0.1339384733
437	0.133744002
438	0.1335344321
439	0.133329716
440	0.1331207948
441	0.1329273392
442	0.1327426762
443	0.1325709708
444	0.1323499235
445	0.1321608944
446	0.1319774534
447	0.1317910379
448	0.1315997946
449	0.1314077837
450	0.131208264
451	0.1310154554
452	0.1308168581
453	0.1306123379
454	0.1304227768
455	0.1302447292
456	0.1300680996
457	0.1298741502
458	0.1296836612
459	0.1295096196
460	0.129338463
461	0.1291486688
462	0.1289647747
463	0.1287606927
464	0.1285709359
465	0.1284192888
466	0.1282553145
467	0.1280745488
468	0.1278815567
469	0.1276930394
470	0.1275126695
471	0.1273335303
472	0.1271367083
473	0.1269582467
474	0.1267837866
475	0.1266018057
476	0.1264152061
477	0.1262335177
478	0.1260543537
479	0.1258815283
480	0.1257024673
481	0.12550904
482	0.1253369893
483	0.1251864361
484	0.1250549972
485	0.1248908373
486	0.1247120689
487	0.1245498326
488	0.1243824243
489	0.124213664
490	0.1240580974
491	0.1239268822
492	0.1237674841
493	0.1236112048
494	0.1234438864
495	0.1232878501
496	0.1231188806
497	0.1229446314
498	0.1227839202
499	0.1226250013
500	0.1224568444
501	0.1223176649
502	0.1221790628
503	0.1220327136
504	0.121878098
505	0.1217185843
506	0.1215632368
507	0.1214110712
508	0.1212427942
509	0.1211025158
510	0.1209283471
511	0.120771342
512	0.1206354316
513	0.1204687938
514	0.1203391693
515	0.1201867171
516	0.1200383469
517	0.1198858113
518	0.1197147972
519	0.1195740611
520	0.119429292
521	0.1192873901
522	0.1191598139
523	0.1190238474
524	0.1188765607
525	0.1187166656
526	0.1185533417
527	0.118403426
528	0.1182794142
529	0.118146067
530	0.1179910874
531	0.1178417011
532	0.1176794076
533	0.1175285816
534	0.1173847029
535	0.1172356158
536	0.1170988198
537	0.1169593373
538	0.1168370784
539	0.1166806628
540	0.1165347496
541	0.1164002775
542	0.1162769118
543	0.1161264507
544	0.1159747138
545	0.1158351888
546	0.1157005545
547	0.1155674472
548	0.1154404268
549	0.1153163379
550	0.1151783234
551	0.1150325304
552	0.1149188313
553	0.114792867
554	0.1146486303
555	0.1145252873
556	0.1144061884
557	0.1142666674
558	0.1141239726
559	0.1139975508
560	0.1138697852
561	0.1137415502
562	0.1136131636
563	0.1134959276
564	0.1133610689
565	0.1132037243
566	0.1130750773
567	0.1129529614
568	0.1128150073
569	0.1126743949
570	0.1125303106
571	0.1124073821
572	0.1122832403
573	0.1121593727
574	0.1120279022
575	0.1118927773
576	0.111769429
577	0.1116353723
578	0.1115240022
579	0.1114067211
580	0.1112828717
581	0.1111532659
582	0.1110331983
583	0.110909977
584	0.110784696
585	0.1106596834
586	0.1105510144
587	0.1104186353
588	0.110304889
589	0.1101971468
590	0.1100911519
591	0.1099640159
592	0.1098457534
593	0.1097383628
594	0.1096125843
595	0.109492321
596	0.1093861842
597	0.1092711562
598	0.1091526554
599	0.1090335492
600	0.1089192817
601	0.1087997646
602	0.1086722327
603	0.1085587946
604	0.1084571594
605	0.1083558396
606	0.108251862
607	0.1081350996
608	0.1080149046
609	0.1079047379
610	0.1077982774
611	0.1076965235
612	0.1076005903
613	0.1075014228
614	0.1073972205
615	0.1072749331
616	0.1071694954
617	0.107062251
618	0.1069573464
619	0.1068576704
620	0.1067596516
621	0.1066748345
622	0.1065669771
623	0.1064535795
624	0.1063488162
625	0.106232635
626	0.1061265594
627	0.1060290084
628	0.1059150091
629	0.1058119303
630	0.1057144949
631	0.1056135277
632	0.1055187846
633	0.1054113624
634	0.1053276254
635	0.1052280972
636	0.105119998
637	0.1050149723
638	0.1049295551
639	0.1048223936
640	0.1047186377
641	0.1046327795
642	0.1045257209
643	0.1044409221
644	0.1043350541
645	0.1042214088
646	0.1041289016
647	0.1040321418
648	0.1039616014
649	0.1038624628
650	0.1037551824
651	0.1036598572
652	0.1035780172
653	0.103482947
654	0.1033990448
655	0.1032938218
656	0.1031913224
657	0.1030870815
658	0.1029800868
659	0.1028768157
660	0.1027659638
661	0.1026664686
662	0.1025789414
663	0.1024902254
664	0.1023997074
665	0.1023108078
666	0.1022251662
667	0.1021266177
668	0.1020436315
669	0.1019505515
670	0.1018778837
671	0.1017850616
672	0.1016949659
673	0.1016210843
674	0.1015234801
675	0.1014406173
676	0.1013555923
677	0.1012532123
678	0.1011745212
679	0.1010870824
680	0.1010026987
681	0.1009368282
682	0.1008454983
683	0.1007771826
684	0.1006814572
685	0.1005987395
686	0.1004925001
687	0.1004047838
688	0.100334257
689	0.1002450261
690	0.1001540672
691	0.1000694928
692	0.09998706136
693	0.09990715503
694	0.099811814
695	0.09972357898
696	0.09963007503
697	0.09954854262
698	0.0994764639
699	0.09939806104
700	0.0993192698
701	0.09924094574
702	0.09915753836
703	0.09907813903
704	0.09900365967
705	0.09892853905
706	0.09884206668
707	0.09876441982
708	0.0986682372
709	0.09858422244
710	0.09850929217
711	0.09841792885
712	0.09833700583
713	0.09825803021
714	0.09816614891
715	0.0980811462
716	0.09800761147
717	0.09792493192
718	0.09784749166
719	0.09777807208
720	0.09769597253
721	0.09762717332
722	0.09755600351
723	0.09746860111
724	0.09739340665
725	0.0973305438
726	0.09725233402
727	0.09716493017
728	0.09708478279
729	0.09701179873
730	0.09694026045
731	0.09685045163
732	0.09678146546
733	0.09669966952
734	0.09662379978
735	0.09653507823
736	0.09645174303
737	0.09637921955
738	0.09631799053
739	0.09623231953
740	0.09614901818
741	0.09606563098
742	0.09600153078
743	0.09590786195
744	0.09583533697
745	0.09576841836
746	0.09570382734
747	0.09562376382
748	0.09557081581
749	0.09549096984
750	0.09542515996
751	0.09535145596
752	0.09526538164
753	0.09518772688
754	0.09511028145
755	0.095047514
756	0.0949824732
757	0.09491274966
758	0.0948373565
759	0.09476480757
760	0.09470629009
761	0.09462735048
762	0.09455719295
763	0.0944913211
764	0.09442818651
765	0.09436891219
766	0.09431896524
767	0.09425481089
768	0.09419139515
769	0.09412178966
770	0.09406639909
771	0.09398820098
772	0.09392797232
773	0.09387162982
774	0.09380400699
775	0.09373226873
776	0.09366958393
777	0.0935995489
778	0.09353794224
779	0.09348501173
780	0.09341501824
781	0.09334365688
782	0.09328458646
783	0.09322313653
784	0.09315221313
785	0.09308099894
786	0.09302076851
787	0.09296377119
788	0.09292327876
789	0.09286647822
790	0.09278770838
791	0.09272336167
792	0.092678167
793	0.09259924693
794	0.09253733065
795	0.09247018263
796	0.09241260563
797	0.09236370445
798	0.09230929083
799	0.09224931801
800	0.09218017798
801	0.09212528898
802	0.09204761961
803	0.09198474974
804	0.09192154757
805	0.09187711328
806	0.09181982341
807	0.09175596873
808	0.09170023661
809	0.09163471159
810	0.09156612504
811	0.09150608291
