iter	Passed	Remaining
0	26	160362
1	54	164770
2	86	172967
3	113	170308
4	140	168590
5	164	164616
6	196	168536
7	229	172199
8	257	171586
9	285	170719
10	312	169950
11	336	168070
12	362	167066
13	390	166903
14	414	165263
15	442	165562
16	471	165801
17	499	165855
18	525	165478
19	552	165224
20	575	163988
21	600	163209
22	623	162157
23	649	161777
24	671	160603
25	698	160497
26	726	160746
27	758	161691
28	782	161216
29	811	161558
30	837	161354
31	862	160934
32	886	160283
33	911	159901
34	936	159553
35	963	159691
36	990	159647
37	1018	159793
38	1040	159018
39	1066	158849
40	1091	158710
41	1115	158304
42	1141	158102
43	1166	157843
44	1189	157462
45	1216	157439
46	1245	157737
47	1269	157418
48	1293	157038
49	1317	156726
50	1346	157099
51	1370	156816
52	1394	156526
53	1417	156112
54	1445	156204
55	1470	156038
56	1496	155986
57	1525	156247
58	1550	156138
59	1579	156391
60	1604	156212
61	1629	156090
62	1657	156170
63	1685	156295
64	1714	156552
65	1740	156512
66	1771	156902
67	1806	157550
68	1837	157902
69	1866	158102
70	1895	158247
71	1922	158268
72	1948	158171
73	1977	158320
74	2007	158605
75	2033	158475
76	2060	158474
77	2088	158557
78	2112	158310
79	2138	158227
80	2162	158023
81	2189	158008
82	2213	157825
83	2238	157635
84	2266	157728
85	2289	157445
86	2314	157283
87	2340	157226
88	2364	157028
89	2392	157076
90	2416	156917
91	2448	157224
92	2472	157038
93	2496	156843
94	2523	156845
95	2550	156843
96	2576	156767
97	2601	156667
98	2625	156493
99	2648	156250
100	2676	156351
101	2702	156256
102	2728	156228
103	2756	156259
104	2781	156156
105	2812	156382
106	2834	156096
107	2859	155988
108	2883	155831
109	2907	155685
110	2934	155662
111	2960	155627
112	2985	155554
113	3011	155505
114	3040	155616
115	3070	155728
116	3097	155741
117	3125	155785
118	3150	155713
119	3175	155623
120	3199	155457
121	3226	155475
122	3252	155389
123	3278	155379
124	3307	155441
125	3335	155481
126	3362	155505
127	3387	155392
128	3412	155317
129	3438	155278
130	3463	155163
131	3490	155161
132	3513	154998
133	3540	154969
134	3566	154955
135	3592	154914
136	3620	154931
137	3644	154820
138	3671	154812
139	3696	154710
140	3723	154733
141	3746	154564
142	3777	154722
143	3805	154770
144	3831	154723
145	3856	154647
146	3883	154637
147	3911	154664
148	3936	154581
149	3964	154629
150	3991	154614
151	4020	154679
152	4045	154602
153	4073	154651
154	4100	154644
155	4124	154497
156	4150	154455
157	4174	154345
158	4199	154279
159	4226	154257
160	4249	154114
161	4276	154095
162	4304	154137
163	4331	154136
164	4354	154004
165	4381	153970
166	4408	153966
167	4432	153871
168	4459	153865
169	4487	153909
170	4520	154088
171	4549	154148
172	4579	154250
173	4609	154327
174	4641	154499
175	4677	154767
176	4702	154701
177	4726	154593
178	4751	154518
179	4782	154628
180	4808	154582
181	4835	154592
182	4862	154563
183	4885	154425
184	4912	154420
185	4946	154611
186	4978	154744
187	5003	154668
188	5031	154703
189	5059	154722
190	5088	154752
191	5115	154739
192	5139	154638
193	5164	154549
194	5191	154542
195	5214	154425
196	5241	154388
197	5271	154467
198	5291	154248
199	5319	154251
200	5342	154148
201	5366	154037
202	5390	153944
203	5417	153925
204	5442	153859
205	5466	153757
206	5491	153683
207	5516	153602
208	5541	153538
209	5571	153623
210	5592	153423
211	5619	153422
212	5647	153431
213	5674	153426
214	5701	153413
215	5725	153307
216	5757	153432
217	5783	153389
218	5810	153369
219	5837	153355
220	5863	153321
221	5891	153332
222	5919	153338
223	5946	153345
224	5978	153455
225	6006	153460
226	6033	153437
227	6060	153437
228	6091	153512
229	6116	153441
230	6138	153315
231	6165	153290
232	6196	153358
233	6218	153230
234	6242	153148
235	6268	153100
236	6297	153127
237	6321	153041
238	6347	153012
239	6376	153034
240	6406	153095
241	6430	153014
242	6454	152925
243	6478	152820
244	6508	152890
245	6537	152915
246	6564	152901
247	6592	152892
248	6620	152917
249	6643	152811
250	6670	152791
251	6696	152736
252	6719	152632
253	6740	152482
254	6768	152488
255	6790	152355
256	6814	152277
257	6836	152148
258	6858	152025
259	6882	151940
260	6907	151877
261	6936	151919
262	6961	151866
263	6990	151882
264	7017	151863
265	7041	151795
266	7065	151714
267	7090	151659
268	7118	151656
269	7144	151622
270	7167	151531
271	7191	151438
272	7217	151404
273	7240	151312
274	7267	151299
275	7295	151303
276	7319	151225
277	7348	151246
278	7378	151305
279	7405	151284
280	7431	151247
281	7456	151184
282	7484	151204
283	7510	151155
284	7537	151137
285	7563	151114
286	7584	150985
287	7612	150975
288	7641	151012
289	7666	150942
290	7694	150951
291	7717	150860
292	7742	150809
293	7771	150832
294	7797	150794
295	7821	150716
296	7847	150678
297	7882	150821
298	7901	150664
299	7925	150582
300	7951	150543
301	7977	150507
302	8008	150573
303	8031	150481
304	8058	150472
305	8083	150424
306	8109	150375
307	8136	150371
308	8163	150343
