iter	Passed	Remaining
0	53	53674
1	80	39924
2	104	34740
3	126	31563
4	135	26899
5	143	23734
6	150	21287	7	186	23128	8	200	229	9	9	215	21101010	233	2011	211	248	2012	212	264	201313	265	18701414	283	18621515	299	184016	301	17426
17	320	17504
18	342	17670
19	358	17544
20	375	17517
21	395	17597
22	414	17611
23	439	17861
24	451	17626
25	469	17598
26	478	17260
27	489	17005
28	500	16753
29	529	542	1730	530	562	1731	548	16579
32	532	595	1733	590	16780
34	613	16915
35	628	16822
36	644	16763
37	664	16823
38	674	16628
39	693	16635
40	715	16731
41	731	16684
42	749	16672
43	763	16597
44	781	16590
45	801	16626
46	820	16635
47	845	16765
48	860	16696
49	873	16600
50	895	16666
51	922	16814
52	936	16730
53	952	16683
54	966	16599
55	982	16570
56	1001	16566
57	1019	16556
58	1036	16530
59	1053	16506
60	1067	16430
61	1087	16459
62	1114	16572
63	1131	16551
64	64	1173	16865	65	1183	16766	66	1192	16667	1193	16352
68	1216	16413
69	1232	16374
70	1240	16230
71	1247	16082
72	72	1285	16373	73	1301	16274	1295	15980
75	75	1330	16176	76	1343	16177	77	1357	16044
78	1375	16034
79	1392	16017
80	1406	15956
81	1422	15924
82	1440	15914
83	1453	15844
84	1466	15785
85	1489	15831
86	1508	15825
87	1525	15810
88	1539	15759
89	1550	15676
90	1560	15586
91	1570	15496
92	1579	15409
93	1590	15331
94	1602	15265
95	1613	15193
96	1624	15120
97	1634	15040
98	1645	14973
99	1655	14903
100	1677	14932
101	1700	14972
102	1720	14979
103	1739	14988
104	1756	14973
105	1767	14903
106	1777	14831
107	1789	14777
108	1800	14719
109	1812	14661
110	1822	14597
111	1832	14532
112	1845	14483
113	1856	14429
114	1866	14366
115	1877	14306
116	1888	14256
117	1899	14194
118	1910	14142
119	1923	14105
120	1932	14039
121	1943	13988
122	1955	13939
123	1964	13875
124	1972	13807
125	1979	13732
126	1987	13664
127	1995	13596
128	2003	135129	1983	13275
130	1994	13229
131	2003	13171
132	2015	13139
133	2027	13106
134	2038	13064
135	2049	13022
136	2062	12991
137	2077	12975
138	2085	12917
139	2096	12881
140	2107	12836
141141	2155	13022
142	2173	13025
143	2186	12997
144	2193	12934
145	2200	128146146	2209	128147	2189	12602
148	2201	12574
149	2212	12540
150	2221	12492
151	2229	12438
152	2238	12391
153	2247	12346
154	2265	12349
155	2280	12340
156	2291	12306
157	2303	12276
158	2311	12225
159	2320	12180
160	2326	12125
161	2335	12080
162	2344	12039
163	2355	12004
164	2372	12008
165	2384	11978
166	2390	11926
167	2397	11875
168	2405	11830
169	2413	11785
170	2423	11746
171	2430	11700
172	2441	11669
173	2450	11631
174	2458	11589
175	2475	11591
176	2485	11558
177	2493	11514
178	2502	11476
179	2519	11476
180	2537	11483
181	2554	11479
182	2569	11469
183	2579	11439
184	2592	11420
185	2606	11408
186	2619	11388
187	2627	11346
188	2636	11311
189	2647	11284
190	2655	11247
191	2665	11218
192	2676	11192
193	2687	11164
194	2698	11140
195	2714	11133
196	2727	11119
197	2740	11100
198	2753	11082
199	2766	11065
200	2785	11074
201	2798	11054
202	2807	11024
203	2815	10985
204	2827	10964
205	2835	10928
206	2843	10893
207	2854	10868
208	2865	10845
209	2874	10812
210	2887	10796
211	2899	10776
212	2911	10758
213	2923	10738
214	2937	10726
215	2947	10698
216	2958	10676
217	2970	10656
218	2979	10624
219	2989	10599
220	3005	10593
221	3014	10565
222	3025	10541
223	3037	10521
224	3047	10496
225	3060	10480
226	3072	10461
227	3083	10441
228	3098	10431
229	3111	10416
230	3122	10395
231	3133	10371
232	3142	10345
233	3167	10369
234	3184	10366
235	3205	10377
236	3221	10372
237	3235	10360
238	3256	10368
239	3266	10344
240	3283	10339
241	3300	10338
242	3319	10340
243	3332	10326
244	3354	10337
245	3368	10325
246	3379	10301
247	3397	10302
248	3411	10289
249	3425	10277
250	3438	10261
251	3460	10272
252	3500	10335
253	3540	10397
254	3567	10422
255	3591	10438
256	3616	10456
257	3636	10457
258	3667	10491
259	3694	10515
260	3734	10573
261	3767	10611
262	3802	10655
263	3815	10638
264	3829	10621
265	3850	10625
266	3867	10616
267	3886	10614
268	3907	10617
269	3928	10621
270	3942	10605
271	3960	10599
272	3976	10589
273	3992	10578
274	4014	10583
275	4027	10564
276	4037	10538
277	4056	10536
278	4071	10521
279	4085	10506
280	4101	10495
281	4124	10501
282	4148	10510
283	4161	10491
284	4181	10490
285	4202	10491
286	4221	10486
287	4246	10498
288	4266	10497
289	4285	10492
290	4306	10492
291	4321	10477
292	4338	10469
293	4358	10465
294	4376	10459
295	4396	10457
296	4408	10434
297	4416	10405
298	4430	10386
299	4445	10372
300	4462	10362
301	4492	10384
302	4508	10372
303	4518	10345
304	4545	10357
305	4574	10375
306	4608	10403
307	4626	10395
308	4639	10374
309	4667	10389
310	4711	10437
311	4748	10471
312	4784	10500
313	4829	10550
314	4852	10553
315	4895	10597
316	4924	10609
317	4954	10625
318	4990	10653
319	5017	10663
320	5062	10709
321	5102	10743
322	5154	10804
323	5203	10856
324	5241	10885
325	5272	10899
326	5313	10936
327	5345	10951
328	5379	10970
329	5406	10977
330	5438	10992
331	5483	11032
332	5522	11062
333	5559	11084
334	5593	11103
335	5616	11099
336	5640	11096
337	5659	11083
338	5681	11077
339	5728	11120
340	5750	11113
341	5770	11102
342	5786	11083
343	5800	11062
344	5832	11074
345	5854	11066
346	5880	11065
347	5896	11047
348	5923	11049
349	5958	11066
350	5985	11066
351	6013	11071
352	6038	11068
353	6059	11057
354	6077	11042
355	6104	11042
356	6133	11047
357	6147	11024
358	6170	11017
359	6194	11012
360	6225	11020
361	6248	11013
362	6284	11028
363	6315	11034
364	6348	11044
365	6383	11057
366	6410	11057
367	6438	11056
368	6465	11055
369	6485	11043
370	6513	11042
371	6540	11040
372	6564	11034
373	6589	11029
374	6613	11023
375	6634	11010
376	6661	11008
377	6678	10990
378	6698	10975
379	6723	10969
380	6746	10960
381	6759	10935
382	6779	10921
383	6808	10922
384	6823	10899
385	6840	10881
386	6873	10887
387	6887	10863
388	6909	10852
389	6932	10842
390	6952	10829
391	6977	10822
392	6997	10807
393	7008	10779
394	7025	10760
395	7040	10738
396	7065	10731
397	7083	10713
398	7099	10693
399	7113	10670
400	7128	10648
401	7147	10633
402	7164	10612
403	7176	10586
404	7185	10556
405	7194	10526
406	7210	10505
407	7226	10484
408	7242	10465
409	7262	10450
410	7287	10443
411	7305	10425
412	7326	10413
413	7343	10394
414	7362	10378
415	7371	10348
416	7394	10337
417	7426	10339
418	7455	10337
419	7485	10336
420	7504	10321
421	7512	10290
422	7530	10271
423	7554	10262
424	7576	10250
425	7596	10235
426	7615	10218
427	7635	10203
428	7657	10192
429	7686	10188
430	7710	10179
431	7724	10156
432	7740	10136
433	7753	10112
434	7771	10093
435	7789	10076
436	7803	10053
437	7816	10029
438	7829	10004
439	7838	9976
440	7856	9958
441	7867	9932
442	7883	9912
443	7898	9890
444	7911	9866
445	7930	9851
446	7942	9826
447	7971	9821
448	8002	9820
449	8017	9799
450	8041	9788
451	8060	9772
452	8077	9754
453	8102	9743
454	8123	9730
455	8142	9713
456	8159	9694
457	8189	9691
458	8199	9664
459	8217	9646
460	8239	9633
461	8257	9615
462	8277	9601
463	8291	9578
464	8313	9564
465	8328	9543
466	8336	9514
467	8354	9497
468	8375	9482
469	8391	9462
470	8402	9437
471	8436	9437
472	8479	9447
473	8500	9433
474	8508	9403
475	8515	9374
476	8522	9344
477	8530	9315
478	8537	9285
479	8546	9258
480	8563	9240
481	8579	9219
482	8585	9190
483	8594	9163
484	8601	9133
485	8610	9106
486	8617	9077
487	8627	9051
488	8636	9024
489	8646	8999
490	8667	8985
491	8680	8962
492	8691	8938
493	8699	8911
494	8708	8884
495	8716	8857
496	8727	8832
497	8734	8804
498	8744	8779
499	8760	8760
500	8767	8732
501	8776	8706
502	8783	8678
503	8793	8653
504	8803	8628
505	8812	8603
506	8821	8577
507	8829	8551
508	8839	8526
509	8851	8504
510	8869	8487
511	8887	8470
512	8910	8458
513	8942	8455
514	8973	8450
515	8991	8434
516	9027	8433
517	9045	8416
518	9085	8420
519	9099	8399
520	9120	8385
521	9131	8361
522	9147	8342
523	9158	8319
524	9175	8301
525	9195	8286
526	9205	8261
527	9220	8242
528	9237	8224
529	9251	8204
530	9271	8189
531	9286	8169
532	9301	8149
533	9321	8134
534	9338	8116
535	9346	8091
536	9357	8067
537	9375	8050
538	9389	8031
539	9408	8014
540	9424	7996
541	9432	7970
542	9439	7944
543	9447	7919
544	9454	7893
545	9460	7866
546	9466	7839
547	9472	7813
548	9479	7787
549	9486	7761
550	9494	7737
551	9503	7712
552	9510	7687
553	9518	7662
554	9524	7636
555	9530	7610
556	9537	7585
557	9543	7559
558	9554	7537
559	9561	7512
560	9567	7486
561	9578	7464
562	9587	7441
563	9604	7424
564	9626	7411
565	9636	7389
566	9651	7370
567	9666	7352
568	9680	7332
569	9697	7315
570	9714	7298
571	9736	7285
572	9757	7271
573	9777	7256
574	9797	7241
575	9813	7223
576	9829	7205
577	9852	7193
578	9871	7177
579	9882	7156
580	9898	7138
581	9909	7117
582	9923	7097
583	9932	7075
584	9948	7057
585	9958	7035
586	9969	7014
587	9986	6997
588	10003	6980
589	10015	6960
590	10027	6939
591	10044	6922
592	10059	6904
593	10084	6892
594	10100	6875
595	10121	6860
596	10133	6840
597	10151	6824
598	10166	6806
599	10179	6786
600	10193	6767
601	10208	6749
602	10217	6726
603	10223	6702
604	10235	6682
605	10250	6664
606	10264	6645
607	10279	6627
608	10288	6605
609	10296	6582
610	10302	6559
611	10309	6536
612	10316	6512
613	10323	6489
614	10331	6467
615	10338	6444
616	10347	6422
617	10355	6400
618	10362	6378
619	10370	6355
620	10377	6333
621	10385	6311
622	10395	6290
623	10402	6268
624	10414	6248
625	10431	6232
626	10450	6217
627	10473	6204
628	10499	6192
629	10521	6179
630	10534	6160
631	10548	6142
632	10566	6126
633	10582	6108
634	10594	6089
635	10613	6074
636	10630	6057
637	10648	6041
638	10661	6022
639	10669	6001
640	10681	5982
641	10700	5967
642	10717	5950
643	10727	5930
644	10736	5909
645	10752	5892
646	10761	5871
647	10773	5852
648	10785	5833
649	10799	5815
650	10807	5794
651	10826	5778
652	10839	5760
653	10852	5741
654	10864	5722
655	10876	5703
656	10884	5682
657	10890	5660
658	10900	5640
659	10906	5618
660	10913	5597
661	10920	5575
662	10928	5554
663	10935	5533
664	10941	5512
665	10947	5490
666	10954	5469
667	10963	5449
668	10970	5428
669	10978	5407
670	10985	5386
671	10992	5365
672	10999	5344
673	11005	5323
674	11012	5302
675	11020	5281
676	11028	5261
677	11034	5240
678	11042	5220
679	11050	5200
680	11059	5180
681	11067	5160
682	11075	5140
683	11081	5119
684	11090	5099
685	11097	5079
686	11106	5060
687	11112	5039
688	11119	5019
689	11128	4999
690	11134	4979
691	11144	4960
692	11151	4939
693	11159	4920
694	11165	4900
695	11173	4880
696	11181	4860
697	11187	4840
698	11198	4822
699	11205	4802
700	11212	4782
701	11219	4762
702	11228	4743
703	11238	4725
704	11246	4706
705	11253	4686
706	11261	4667
707	11269	4647
708	11276	4628
709	11283	4608
710	11290	4589
711	11297	4569
712	11304	4550
713	11311	4530
714	11317	4511
715	11324	4491
716	11331	4472
717	11338	4453
718	11346	4434
719	11353	4415
720	11362	4396
721	11369	4377
722	11376	4358
723	11384	4339
724	11393	4321
725	11402	4303
726	11409	4284
727	11416	4265
728	11423	4246
729	11429	4227
730	11436	4208
731	11442	4189
732	11449	4170
733	11455	4151
734	11461	4132
735	11467	4113
736	11473	4094
737	11481	4075
738	11488	4057
739	11505	4042
740	11523	4027
741	11534	4010
742	11545	3993
743	11562	3978
744	11569	3960
745	11582	3943
746	11593	3926
747	11605	3909
748	11618	3893
749	11634	3878
750	11650	3862
751	11657	3844
752	11675	3829
753	11692	3814
754	11710	3800
755	11720	3782
756	11729	3765
757	11737	3747
758	11744	3729
759	11751	3711
760	11760	3693
761	11769	3676
762	11777	3658
763	11785	3640
764	11795	3623
765	11802	3605
766	11814	3589
767	11823	3571
768	11833	3554
769	11839	3536
770	11850	3519
771	11864	3504
772	11873	3486
773	11883	3469
774	11892	3452
775	11899	3435
776	11906	3417
777	11914	3399
778	11921	3382
779	11930	3365
780	11949	3350
781	11968	3336
782	11980	3320
783	11994	3304
784	12010	3289
785	12025	3274
786	12043	3259
787	12064	3245
788	12074	3229
789	12083	3211
790	12092	3195
791	12101	3178
792	12111	3161
793	12123	3145
794	12133	3128
795	12142	3111
796	12151	3095
797	12160	3078
798	12171	3061
799	12183	3045
800	12194	3029
801	12205	3013
802	12217	2997
803	12232	2981
804	12247	2966
805	12258	2950
806	12268	2934
807	12281	2918
808	12294	2902
809	12314	2888
810	12334	2874
811	12343	2857
812	12358	2842
813	12373	2827
814	12386	2811
815	12392	2794
816	12400	2777
817	12408	2760
818	12418	2744
819	12425	2727
820	12432	2710
821	12441	2694
822	12452	2678
823	12461	2661
824	12469	2645
825	12476	2628
826	12486	2612
827	12494	2595
828	12502	2578
829	12508	2561
830	12515	2545
831	12523	2528
832	12530	2512
833	12538	2495
834	12547	2479
835	12554	2462
836	12563	2446
837	12571	2430
838	12579	2413
839	12587	2397
840	12595	2381
841	12601	2364
842	12609	2348
843	12627	2334
844	12634	2317
845	12642	2301
846	12647	2284
847	12654	2268
848	12661	2251
849	12670	2235
850	12676	2219
851	12686	2203
852	12694	2187
853	12701	2171
854	12708	2155
855	12714	2138
856	12721	2122
857	12728	2106
858	12736	2090
859	12744	2074
860	12751	2058
861	12760	2042
862	12773	2027
863	12789	2013
864	12803	1998
865	12819	1983
866	12833	1968
867	12849	1954
868	12864	1939
869	12879	1924
870	12898	1910
871	12914	1895
872	12925	1880
873	12937	1865
874	12948	1849
875	12965	1835
876	12971	1819
877	12977	1803
878	12984	1787
879	12992	1771
880	12999	1755
881	13007	1740
882	13015	1724
883	13022	1708
884	13031	1693
885	13038	1677
886	13045	1661
887	13051	1646
888	13058	1630
889	13065	1614
890	13077	1599
891	13084	1584
892	13097	1569
893	13104	1553
894	13110	1538
895	13117	1522
896	13123	1506
897	13130	1491
898	13137	1475
899	13144	1460
900	13152	1445
901	13162	1430
902	13168	1414
903	13175	1399
904	13190	1384
905	13198	1369
906	13208	1354
907	13214	1338
908	13224	1323
909	13230	1308
910	13236	1293
911	13242	1277
912	13248	1262
913	13256	1247
914	13267	1232
915	13274	1217
916	13279	1201
917	13289	1187
918	13295	1171
919	13301	1156
920	13309	1141
921	13316	1126
922	13321	1111
923	13326	1096
924	13330	1080
925	13338	1065
926	13343	1050
927	13348	1035
928	13354	1020
929	13361	1005
930	13366	990
931	13372	975
932	13378	960
933	13384	945
934	13390	930
935	13395	915
936	13400	901
937	13405	886
938	13414	871
939	13419	856
940	13425	841
941	13430	826
942	13435	812
943	13440	797
944	13445	782
945	13449	767
946	13453	752
947	13457	738
948	13461	723
949	13465	708
950	13469	694
951	13474	679
952	13478	664
953	13482	650
954	13489	635
955	13494	621
956	13499	606
957	13504	592
958	13508	577
959	13512	563
960	13516	548
961	13520	534
962	13524	519
963	13528	505
964	13532	490
965	13537	476
966	13541	462
967	13545	447
968	13549	433
969	13553	419
970	13557	404
971	13561	390
972	13568	376
973	13572	362
974	13576	348
975	13581	333
976	13585	319
977	13589	305
978	13593	291
979	13597	277
980	13601	263
981	13605	249
982	13611	235
983	13615	221
984	13619	207
985	13626	193
986	13630	179
987	13634	165
988	13640	151
989	13646	137
990	13650	123
991	13654	110
992	13659	96
993	13663	82
994	13668	68
995	13675	54
996	13679	41
997	13683	27
998	13687	13
999	13691	0
